location_id,location_name,sex_id,sex,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
1,Global,1,Male,27,Age-standardized,Daily smoking prevalence,-0.013372217,-0.014881,-0.011955776,-0.012054303,-0.014313523,-0.009901846,-0.015349089,-0.019051695,-0.011433646
1,Global,2,Female,27,Age-standardized,Daily smoking prevalence,-0.016838044,-0.019508958,-0.013922876,-0.016058829,-0.01993205,-0.012427158,-0.018006865,-0.024061486,-0.011316624
1,Global,3,Both,27,Age-standardized,Daily smoking prevalence,-0.013935478,-0.01528363,-0.012634131,-0.01272507,-0.014700036,-0.010943041,-0.015751092,-0.019033555,-0.012434678
4,"Southeast Asia, East Asia, and Oceania",1,Male,27,Age-standardized,Daily smoking prevalence,-0.008897631,-0.011378999,-0.006570388,-0.009263842,-0.012644789,-0.006037361,-0.008348315,-0.013808703,-0.00264759
4,"Southeast Asia, East Asia, and Oceania",2,Female,27,Age-standardized,Daily smoking prevalence,-0.018473163,-0.03048487,-0.006169842,-0.02050654,-0.037953023,-0.003652317,-0.0154231,-0.038470499,0.00975454
4,"Southeast Asia, East Asia, and Oceania",3,Both,27,Age-standardized,Daily smoking prevalence,-0.009664512,-0.011976073,-0.007341728,-0.010231166,-0.013687628,-0.006994533,-0.008814531,-0.014196074,-0.003294339
5,East Asia,1,Male,27,Age-standardized,Daily smoking prevalence,-0.010307211,-0.013491344,-0.007253106,-0.010423021,-0.014792961,-0.0062831,-0.010133497,-0.017789965,-0.002314418
5,East Asia,2,Female,27,Age-standardized,Daily smoking prevalence,-0.026004674,-0.044902913,-0.007605708,-0.032994725,-0.058464956,-0.008773227,-0.015519596,-0.056236133,0.023569448
5,East Asia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.011349243,-0.014435019,-0.008279214,-0.012005591,-0.01652777,-0.007856846,-0.010364722,-0.017827746,-0.002372531
6,China,1,Male,27,Age-standardized,Daily smoking prevalence,-0.010141698,-0.010996341,-0.009299547,-0.010371035,-0.011529213,-0.009013264,-0.009797691,-0.011751687,-0.007791741
6,China,2,Female,27,Age-standardized,Daily smoking prevalence,-0.026483268,-0.032003645,-0.021235067,-0.033415005,-0.041411325,-0.024582505,-0.016085664,-0.027297139,-0.004494852
6,China,3,Both,27,Age-standardized,Daily smoking prevalence,-0.011206291,-0.012103166,-0.010362987,-0.011978236,-0.0132512,-0.010646795,-0.010048373,-0.011907945,-0.008060485
7,North Korea,1,Male,27,Age-standardized,Daily smoking prevalence,-0.007394644,-0.012296159,-0.002962878,-0.005082182,-0.010970821,0.000926831,-0.010863336,-0.021456078,-0.001256875
7,North Korea,2,Female,27,Age-standardized,Daily smoking prevalence,-0.008007774,-0.033993095,0.019426953,-0.006449164,-0.049167201,0.039409366,-0.010345688,-0.070483953,0.050573129
7,North Korea,3,Both,27,Age-standardized,Daily smoking prevalence,-0.006959674,-0.011728956,-0.002461101,-0.004605088,-0.010574008,0.001416182,-0.010491553,-0.020908562,-0.001209226
8,Taiwan,1,Male,27,Age-standardized,Daily smoking prevalence,-0.0296432,-0.03540644,-0.024093837,-0.020431096,-0.028262934,-0.012563698,-0.04346136,-0.056519043,-0.03154109
8,Taiwan,2,Female,27,Age-standardized,Daily smoking prevalence,-0.01088573,-0.035011537,0.012771161,-0.013801175,-0.051068928,0.024568861,-0.006512563,-0.056256853,0.038196344
8,Taiwan,3,Both,27,Age-standardized,Daily smoking prevalence,-0.028600771,-0.03488376,-0.023074923,-0.02101296,-0.029207317,-0.013134564,-0.039982487,-0.05345742,-0.026528293
9,Southeast Asia,1,Male,27,Age-standardized,Daily smoking prevalence,-0.004755127,-0.006823976,-0.00270128,-0.005619779,-0.008571067,-0.002366096,-0.003458149,-0.007603974,0.000955629
9,Southeast Asia,2,Female,27,Age-standardized,Daily smoking prevalence,-0.006514425,-0.014429575,0.001601551,0.001081753,-0.011650536,0.013632929,-0.01790869,-0.034888946,-0.001252967
9,Southeast Asia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.004938235,-0.006878859,-0.002884768,-0.004993465,-0.0079141,-0.00191017,-0.004855391,-0.009154224,-0.000549548
10,Cambodia,1,Male,27,Age-standardized,Daily smoking prevalence,-0.009982691,-0.014039839,-0.005741454,-0.004733848,-0.010283936,0.000863208,-0.017855955,-0.025889013,-0.010199638
10,Cambodia,2,Female,27,Age-standardized,Daily smoking prevalence,-0.017812442,-0.036817688,0.001825639,-0.021087386,-0.044565417,0.005075329,-0.012900028,-0.04764726,0.018720638
