country	iso	f1980	f1996	f2006	f2012	m1980	m1996	m2006	m2012
Afghanistan	AFG	2.7	2.5	2.8	2.9	19.5	21.8	22.6	22.9
Angola	AGO	1.3	1.3	1.6	1.6	17.3	17.5	17.1	16.8
Albania	ALB	3.5	3.3	3.1	3.9	40.6	39.8	34.5	38.1
Andorra	AND	27.9	28.2	26.8	25.2	37.6	38.8	35.1	33.3
United Arab Emirates	ARE	0.9	0.8	2.1	2.5	21.7	21.7	17.6	18.2
Argentina	ARG	22.5	22.1	19.8	15.9	30.8	29.1	27.1	23.9
Armenia	ARM	2.6	2.9	1.8	1.7	54.0	57.1	54.4	51.7
Antigua and Barbuda	ATG	2.4	2.0	1.8	1.9	8.3	5.5	5.1	5.0
Australia	AUS	27.3	22.6	17.2	15.4	34.3	25.6	20.8	18.3
Austria	AUT	22.3	24.9	29.2	28.3	34.1	34.5	35.8	36.4
Azerbaijan	AZE	0.9	0.8	0.8	0.9	45.3	42.9	42.8	44.9
Burundi	BDI	10.3	9.7	9.3	9.7	25.8	23.0	22.9	24.5
Belgium	BEL	28.4	28.5	24.3	26.1	40.5	37.3	29.8	30.7
Benin	BEN	3.7	3.7	2.2	1.9	16.2	14.4	13.8	13.7
Burkina Faso	BFA	9.3	10.2	5.6	3.7	19.8	19.6	19.5	19.8
Bangladesh	BGD	2.1	1.9	2.2	1.8	48.6	45.5	46.3	44.4
Bulgaria	BGR	23.3	23.3	35.8	31.5	38.5	42.4	49.0	40.9
Bahrain	BHR	8.1	8.1	5.4	5.9	24.7	19.5	22.0	23.9
The Bahamas	BHS	5.6	5.8	4.6	4.5	19.6	17.6	15.7	15.8
Bosnia and Herzegovina	BIH	27.8	28.7	25.6	24.3	45.1	45.1	42.1	39.9
Belarus	BLR	10.5	11.0	11.5	12.2	49.8	53.1	43.0	45.5
Belize	BLZ	2.3	2.1	1.7	1.8	23.1	19.4	17.3	17.4
Bolivia	BOL	21.8	23.9	14.6	11.0	45.9	47.3	42.8	38.7
Brazil	BRA	15.6	14.4	12.0	11.0	25.9	21.3	18.8	16.5
Barbados	BRB	2.2	2.2	2.1	2.1	11.8	11.2	10.8	10.5
Brunei	BRN	8.1	8.4	8.3	8.4	13.4	13.9	13.9	14.0
Bhutan	BTN	3.8	3.7	3.6	3.5	18.8	17.5	16.8	16.5
Botswana	BWA	7.0	6.3	6.2	6.2	27.2	23.5	21.9	21.5
Central African Republic	CAF	1.3	1.3	1.5	1.5	16.4	16.5	16.1	15.9
Canada	CAN	34.1	24.6	14.3	12.8	42.3	27.4	18.1	16.7
Switzerland	CHE	24.2	29.6	18.9	18.7	34.4	35.3	24.7	23.2
Chile	CHL	31.6	34.4	25.9	26.0	37.2	39.0	30.9	31.9
China	CHN	6.0	4.0	2.2	2.1	53.2	53.5	44.5	45.1
Cote d'Ivoire	CIV	3.1	3.2	2.2	1.8	14.5	13.9	15.7	18.7
Cameroon	CMR	2.8	3.0	1.3	0.6	15.6	15.8	15.6	15.4
Democratic Republic of the Congo	COD	1.4	1.3	1.4	1.4	15.4	15.3	15.3	15.3
Congo	COG	1.3	1.3	1.4	1.4	17.5	16.4	16.3	16.2
Colombia	COL	8.7	7.7	6.3	5.6	24.0	18.6	17.0	17.2
Comoros	COM	8.8	10.6	5.1	2.5	18.1	18.2	18.1	18.1
Cape Verde	CPV	3.5	3.4	3.2	3.2	12.9	12.1	11.8	11.7
Costa Rica	CRI	5.4	4.5	6.8	7.5	15.8	13.7	15.9	16.1
Cuba	CUB	15.3	13.7	12.5	11.8	30.8	25.0	21.7	19.9
Cyprus	CYP	23.0	23.8	20.1	18.1	47.9	48.6	47.7	48.0
